# Задание 15: Н и НН
# Формат: предложение | ответ | варианты | пояснение
# Ответы восстановлены по условию и цифровому ключу.

# Комплект 1; источник № 88
Путники, задумчивые и восторже(Н/НН)ые одновременно, очутились как бы в ватном облаке, солнце превратилось в маленький оловянный круг, по которому плыли белесые клочья, пока совершенно не закрыли его. | НН | Н,НН | Правильное написание: восторженные.
Дину встретил весенний апрельский день – с остатками снега по обочинам дороги, с залепленными дорожной слякотью машинами, с синим, в рва(Н/НН)ых облаках небом: обычный петербургский апрельский ветреный день. | Н | Н,НН | Правильное написание: рваных.
Дину встретил весенний апрельский день – с остатками снега по обочинам дороги, с залепленными дорожной слякотью машинами, с синим, в рваных облаках небом: обычный петербургский апрельский ветре(Н/НН)ый день. | Н | Н,НН | Правильное написание: ветреный.

# Комплект 6; источник № 354
Мощё(Н/НН)ая мраморной плиткой прихожая украшена стеклянными вазами и золочёной мебелью, созданной лучшими мастерами Италии. | НН | Н,НН | Правильное написание: Мощённая.
Мощённая мраморной плиткой прихожая украше(Н/НН)а стеклянными вазами и золочёной мебелью, созданной лучшими мастерами Италии. | Н | Н,НН | Правильное написание: украшена.
Мощённая мраморной плиткой прихожая украшена стекля(Н/НН)ыми вазами и золочёной мебелью, созданной лучшими мастерами Италии. | НН | Н,НН | Правильное написание: стеклянными.
Мощённая мраморной плиткой прихожая украшена стеклянными вазами и золочё(Н/НН)ой мебелью, созданной лучшими мастерами Италии. | Н | Н,НН | Правильное написание: золочёной.
Мощённая мраморной плиткой прихожая украшена стеклянными вазами и золочёной мебелью, созда(Н/НН)ой лучшими мастерами Италии. | НН | Н,НН | Правильное написание: созданной.

# Комплект 7; источник № 7075
Это был его собстве(Н/НН)ый крыжовник, собранный в первый раз с тех пор, как были посажены кусты. | НН | Н,НН | Правильное написание: собственный.
Это был его собственный крыжовник, собра(Н/НН)ый в первый раз с тех пор, как были посажены кусты. | НН | Н,НН | Правильное написание: собранный.
Это был его собственный крыжовник, собранный в первый раз с тех пор, как были посаже(Н/НН)ы кусты. | Н | Н,НН | Правильное написание: посажены.

# Комплект 8; источник № 9992
Угловые въезды на городскую площадь оформле(Н/НН)ы коваными решётками и воротами, украшенными изящным позолоченным узором. | Н | Н,НН | Правильное написание: оформлены.
Угловые въезды на городскую площадь оформлены кова(Н/НН)ыми решётками и воротами, украшенными изящным позолоченным узором. | Н | Н,НН | Правильное написание: коваными.
Угловые въезды на городскую площадь оформлены коваными решётками и воротами, украше(Н/НН)ыми изящным позолоченным узором. | НН | Н,НН | Правильное написание: украшенными.
Угловые въезды на городскую площадь оформлены коваными решётками и воротами, украшенными изящным позолоче(Н/НН)ым узором. | НН | Н,НН | Правильное написание: позолоченным.

# Комплект 9; источник № 10434
На берегу было ветре(Н/НН)о. | Н | Н,НН | Правильное написание: ветрено.
Возмущё(Н/НН)ый океан с шумом накатывал волны на безлюдный песчаный берег. | НН | Н,НН | Правильное написание: Возмущённый.
Возмущённый океан с шумом накатывал волны на безлюдный песча(Н/НН)ый берег. | Н | Н,НН | Правильное написание: песчаный.
Юлька, не замечая надвигавшегося шторма, неподвижно сидела на макушке валуна: она была погруже(Н/НН)а в свои мысли. | Н | Н,НН | Правильное написание: погружена.

# Комплект 10; источник № 1837
Почему коньки, сдела(Н/НН)ые из любого материала, скользят только по ледяной поверхности и совершенно не скользят по гладкому каменному полу? | НН | Н,НН | Правильное написание: сделанные.
Почему коньки, сделанные из любого материала, скользят только по ледя(Н/НН)ой поверхности и совершенно не скользят по гладкому каменному полу? | Н | Н,НН | Правильное написание: ледяной.
Почему коньки, сделанные из любого материала, скользят только по ледяной поверхности и соверше(Н/НН)о не скользят по гладкому каменному полу? | НН | Н,НН | Правильное написание: совершенно.
Почему коньки, сделанные из любого материала, скользят только по ледяной поверхности и совершенно не скользят по гладкому каме(Н/НН)ому полу? | НН | Н,НН | Правильное написание: каменному.

# Комплект 11; источник № 4520
Угловые въезды на городскую площадь оформле(Н/НН)ы коваными решётками и воротами с изящным позолоченным узором. | Н | Н,НН | Правильное написание: оформлены.
Угловые въезды на городскую площадь оформлены кова(Н/НН)ыми решётками и воротами с изящным позолоченным узором. | Н | Н,НН | Правильное написание: коваными.
Угловые въезды на городскую площадь оформлены коваными решётками и воротами с изящным позолоче(Н/НН)ым узором. | НН | Н,НН | Правильное написание: позолоченным.

# Комплект 12; источник № 10829
В некоторых картинах Рембрандта есть подли(Н/НН)ая праздничность: даже затенённые силуэты людей наполнены теплом и дыханием светотени. | НН | Н,НН | Правильное написание: подлинная.
В некоторых картинах Рембрандта есть подлинная праздничность: даже затенё(Н/НН)ые силуэты людей наполнены теплом и дыханием светотени. | НН | Н,НН | Правильное написание: затенённые.
В некоторых картинах Рембрандта есть подлинная праздничность: даже затенённые силуэты людей наполне(Н/НН)ы теплом и дыханием светотени. | Н | Н,НН | Правильное написание: наполнены.

# Комплект 13; источник № 50217
Мыс пересекала широкая дорога, проложе(Н/НН)ая самолётом. | НН | Н,НН | Правильное написание: проложенная.
Облома(Н/НН)ые вершины, вывороченные с корнем деревья и нагромождённые у края воды свежерасщеплённые стволы привлекли внимание Сергиевского. | НН | Н,НН | Правильное написание: Обломанные.
Обломанные вершины, вывороче(Н/НН)ые с корнем деревья и нагромождённые у края воды свежерасщеплённые стволы привлекли внимание Сергиевского. | НН | Н,НН | Правильное написание: вывороченные.
Обломанные вершины, вывороченные с корнем деревья и нагромождё(Н/НН)ые у края воды свежерасщеплённые стволы привлекли внимание Сергиевского. | НН | Н,НН | Правильное написание: нагромождённые.
Обломанные вершины, вывороченные с корнем деревья и нагромождённые у края воды свежерасщеплё(Н/НН)ые стволы привлекли внимание Сергиевского. | НН | Н,НН | Правильное написание: свежерасщеплённые.
Некоторые обломки деревьев были отброше(Н/НН)ы далеко в глубь бухты — такова была сила удара самолёта, прочность его корпуса. | Н | Н,НН | Правильное написание: отброшены.

# Комплект 14; источник № 1039
Создавая свой проект, архитектор стремился к соверше(Н/НН)ой законченности и тщательности, что несколько препятствовало свободе и непринуждённой лёгкости. | НН | Н,НН | Правильное написание: совершенной.
Создавая свой проект, архитектор стремился к совершенной законче(Н/НН)ости и тщательности, что несколько препятствовало свободе и непринуждённой лёгкости. | НН | Н,НН | Правильное написание: законченности.
Создавая свой проект, архитектор стремился к совершенной законченности и тщательности, что несколько препятствовало свободе и непринуждё(Н/НН)ой лёгкости. | НН | Н,НН | Правильное написание: непринуждённой.

# Комплект 15; источник № 39822
Обстановка комнаты скромная: деревя(Н/НН)ая кровать; у окна — письменный стол для занятий; огромный сундук, обитый кожей и кованым железом, и удивительный ларчик, оклеенный резной костью. | НН | Н,НН | Правильное написание: деревянная.
Обстановка комнаты скромная: деревянная кровать; у окна — письме(Н/НН)ый стол для занятий; огромный сундук, обитый кожей и кованым железом, и удивительный ларчик, оклеенный резной костью. | НН | Н,НН | Правильное написание: письменный.
Обстановка комнаты скромная: деревянная кровать; у окна — письменный стол для занятий; огромный сундук, обитый кожей и кова(Н/НН)ым железом, и удивительный ларчик, оклеенный резной костью. | Н | Н,НН | Правильное написание: кованым.
Обстановка комнаты скромная: деревянная кровать; у окна — письменный стол для занятий; огромный сундук, обитый кожей и кованым железом, и удивительный ларчик, оклее(Н/НН)ый резной костью. | НН | Н,НН | Правильное написание: оклеенный.

# Комплект 16; источник № 3818
Автор «Слова о полку Игореве» всем сердцем переживал события, положе(Н/НН)ые в основу повествования; он создал образы огромной эмоциональной силы, использовав разнообразные художественные приёмы, например, внутренний монолог. | НН | Н,НН | Правильное написание: положенные.
Автор «Слова о полку Игореве» всем сердцем переживал события, положенные в основу повествования; он создал образы огромной эмоциональной силы, использовав разнообразные художестве(Н/НН)ые приёмы, например, внутренний монолог. | НН | Н,НН | Правильное написание: художественные.
Автор «Слова о полку Игореве» всем сердцем переживал события, положенные в основу повествования; он создал образы огромной эмоциональной силы, использовав разнообразные художественные приёмы, например, внутре(Н/НН)ий монолог. | НН | Н,НН | Правильное написание: внутренний.

# Комплект 17; источник № 2959
На улице было ветре(Н/НН)о, знакомый мне мальчик в кожаной курточке и вязаной шапочке запускал на площадке перед домом подаренного отцом воздушного змея. | Н | Н,НН | Правильное написание: ветрено.
На улице было ветрено, знакомый мне мальчик в кожа(Н/НН)ой курточке и вязаной шапочке запускал на площадке перед домом подаренного отцом воздушного змея. | Н | Н,НН | Правильное написание: кожаной.
На улице было ветрено, знакомый мне мальчик в кожаной курточке и вяза(Н/НН)ой шапочке запускал на площадке перед домом подаренного отцом воздушного змея. | Н | Н,НН | Правильное написание: вязаной.
На улице было ветрено, знакомый мне мальчик в кожаной курточке и вязаной шапочке запускал на площадке перед домом подаре(Н/НН)ого отцом воздушного змея. | НН | Н,НН | Правильное написание: подаренного.

# Комплект 18; источник № 10359
Разразилась буря: беше(Н/НН)о визжит ветер, мчатся рыжие, словно в клочья разорванные облака; захлестал, закачался отвесными столбами рьяный ливень, молнии слепят огнистой зеленью, грохочет отрывистый гром. | Н | Н,НН | Правильное написание: бешено.
Разразилась буря: бешено визжит ветер, мчатся рыжие, словно в клочья разорва(Н/НН)ые облака; захлестал, закачался отвесными столбами рьяный ливень, молнии слепят огнистой зеленью, грохочет отрывистый гром. | НН | Н,НН | Правильное написание: разорванные.
Разразилась буря: бешено визжит ветер, мчатся рыжие, словно в клочья разорванные облака; захлестал, закачался отвесными столбами рья(Н/НН)ый ливень, молнии слепят огнистой зеленью, грохочет отрывистый гром. | Н | Н,НН | Правильное написание: рьяный.
Всё вокруг занавеше(Н/НН)о пеленой дождя. | Н | Н,НН | Правильное написание: занавешено.

# Комплект 19; источник № 3584
Непроше(Н/НН)ые гости подошли к струганому столу, на котором были расставлены деревенские яства: яйца, картошка, огурцы и клюквенный морс в глиняном кувшине. | Н | Н,НН | Правильное написание: Непрошеные.
Непрошеные гости подошли к струга(Н/НН)ому столу, на котором были расставлены деревенские яства: яйца, картошка, огурцы и клюквенный морс в глиняном кувшине. | Н | Н,НН | Правильное написание: струганому.
Непрошеные гости подошли к струганому столу, на котором были расставле(Н/НН)ы деревенские яства: яйца, картошка, огурцы и клюквенный морс в глиняном кувшине. | Н | Н,НН | Правильное написание: расставлены.
Непрошеные гости подошли к струганому столу, на котором были расставлены деревенские яства: яйца, картошка, огурцы и клюкве(Н/НН)ый морс в глиняном кувшине. | НН | Н,НН | Правильное написание: клюквенный.
Непрошеные гости подошли к струганому столу, на котором были расставлены деревенские яства: яйца, картошка, огурцы и клюквенный морс в глиня(Н/НН)ом кувшине. | Н | Н,НН | Правильное написание: глиняном.

# Комплект 20; источник № 7441
Своеобразие художестве(Н/НН)ого мира ранних повестей Н. | НН | Н,НН | Правильное написание: художественного.
Своеобразие художественного мира ра(Н/НН)их повестей Н. | НН | Н,НН | Правильное написание: ранних.
Гоголя связа(Н/НН)о с использованием фольклорных традиций: именно в народных сказаниях, полуязыческих легендах и преданиях писатель нашёл темы и сюжеты для своих произведений. | Н | Н,НН | Правильное написание: связано.
Гоголя связано с использованием фольклорных традиций: име(Н/НН)о в народных сказаниях, полуязыческих легендах и преданиях писатель нашёл темы и сюжеты для своих произведений. | НН | Н,НН | Правильное написание: именно.

# Комплект 21; источник № 2524
В лавке было немало интересных вещей: стари(Н/НН)ые кофейники, маленькие серебряные ложки, фарфоровые тарелки, украшенные разноцветными узорами. | НН | Н,НН | Правильное написание: старинные.
В лавке было немало интересных вещей: старинные кофейники, маленькие серебря(Н/НН)ые ложки, фарфоровые тарелки, украшенные разноцветными узорами. | Н | Н,НН | Правильное написание: серебряные.
В лавке было немало интересных вещей: старинные кофейники, маленькие серебряные ложки, фарфоровые тарелки, украше(Н/НН)ые разноцветными узорами. | НН | Н,НН | Правильное написание: украшенные.

# Комплект 22; источник № 59879
На столе были расставле(Н/НН)ы весьма разнообразные блюда: была там катанка — пшённая каша на гусином бульоне, бараний и свиной окорок, квашеная капуста с морковью, мóченные в остром рассоле яблоки; а напитков наставлено на стол было столько, что глаза разбегались. | Н | Н,НН | Правильное написание: расставлены.
На столе были расставлены весьма разнообразные блюда: была там катанка — пшё(Н/НН)ая каша на гусином бульоне, бараний и свиной окорок, квашеная капуста с морковью, мóченные в остром рассоле яблоки; а напитков наставлено на стол было столько, что глаза разбегались. | НН | Н,НН | Правильное написание: пшённая.
На столе были расставлены весьма разнообразные блюда: была там катанка — пшённая каша на гуси(Н/НН)ом бульоне, бараний и свиной окорок, квашеная капуста с морковью, мóченные в остром рассоле яблоки; а напитков наставлено на стол было столько, что глаза разбегались. | Н | Н,НН | Правильное написание: гусином.
На столе были расставлены весьма разнообразные блюда: была там катанка — пшённая каша на гусином бульоне, бара(Н/НН)ий и свиной окорок, квашеная капуста с морковью, мóченные в остром рассоле яблоки; а напитков наставлено на стол было столько, что глаза разбегались. | Н | Н,НН | Правильное написание: бараний.
На столе были расставлены весьма разнообразные блюда: была там катанка — пшённая каша на гусином бульоне, бараний и сви(Н/НН)ой окорок, квашеная капуста с морковью, мóченные в остром рассоле яблоки; а напитков наставлено на стол было столько, что глаза разбегались. | Н | Н,НН | Правильное написание: свиной.
На столе были расставлены весьма разнообразные блюда: была там катанка — пшённая каша на гусином бульоне, бараний и свиной окорок, кваше(Н/НН)ая капуста с морковью, мóченные в остром рассоле яблоки; а напитков наставлено на стол было столько, что глаза разбегались. | Н | Н,НН | Правильное написание: квашеная.
На столе были расставлены весьма разнообразные блюда: была там катанка — пшённая каша на гусином бульоне, бараний и свиной окорок, квашеная капуста с морковью, мóче(Н/НН)ые в остром рассоле яблоки; а напитков наставлено на стол было столько, что глаза разбегались. | НН | Н,НН | Правильное написание: ченные.
На столе были расставлены весьма разнообразные блюда: была там катанка — пшённая каша на гусином бульоне, бараний и свиной окорок, квашеная капуста с морковью, мóченные в остром рассоле яблоки; а напитков наставле(Н/НН)о на стол было столько, что глаза разбегались. | Н | Н,НН | Правильное написание: наставлено.

# Комплект 23; источник № 59508
Обката(Н/НН)ые до блеска, угловые въезды на городскую площадь оформлены коваными решетками и воротами с изящным позолоченным узором. | НН | Н,НН | Правильное написание: Обкатанные.
Обкатанные до блеска, угловые въезды на городскую площадь оформле(Н/НН)ы коваными решетками и воротами с изящным позолоченным узором. | Н | Н,НН | Правильное написание: оформлены.
Обкатанные до блеска, угловые въезды на городскую площадь оформлены кова(Н/НН)ыми решетками и воротами с изящным позолоченным узором. | Н | Н,НН | Правильное написание: коваными.
Обкатанные до блеска, угловые въезды на городскую площадь оформлены коваными решетками и воротами с изящным позолоче(Н/НН)ым узором. | НН | Н,НН | Правильное написание: позолоченным.

# Комплект 24; источник № 6954
Жизнь художника Айвазовского, великого труже(Н/НН)ика, была поглощена творчеством, насыщенным импровизацией и фантазией. | Н | Н,НН | Правильное написание: труженика.
Жизнь художника Айвазовского, великого труженика, была поглоще(Н/НН)а творчеством, насыщенным импровизацией и фантазией. | Н | Н,НН | Правильное написание: поглощена.
Жизнь художника Айвазовского, великого труженика, была поглощена творчеством, насыще(Н/НН)ым импровизацией и фантазией. | НН | Н,НН | Правильное написание: насыщенным.

# Комплект 25; источник № 12383
Свобода для Пушкина — полнота жизни, её насыще(Н/НН)ость, разнообразие. | НН | Н,НН | Правильное написание: насыщенность.
Болдинское творчество поэта поражает этой самой свободой, которая выраже(Н/НН)а в нескованном разнообразии замыслов, тем, образов, в стремлении постигнуть внутренний смысл происходящего. | Н | Н,НН | Правильное написание: выражена.
Болдинское творчество поэта поражает этой самой свободой, которая выражена в нескова(Н/НН)ом разнообразии замыслов, тем, образов, в стремлении постигнуть внутренний смысл происходящего. | НН | Н,НН | Правильное написание: нескованном.
Болдинское творчество поэта поражает этой самой свободой, которая выражена в нескованном разнообразии замыслов, тем, образов, в стремлении постигнуть внутре(Н/НН)ий смысл происходящего. | НН | Н,НН | Правильное написание: внутренний.

# Комплект 26; источник № 620
В подготовке молодых шахматистов важно не время, которое было проведе(Н/НН)о непосредственно за игрой в шахматы, а сознательная тренировка, основанная на преодолении, требующая усилий. | Н | Н,НН | Правильное написание: проведено.
В подготовке молодых шахматистов важно не время, которое было проведено непосредстве(Н/НН)о за игрой в шахматы, а сознательная тренировка, основанная на преодолении, требующая усилий. | НН | Н,НН | Правильное написание: непосредственно.
В подготовке молодых шахматистов важно не время, которое было проведено непосредственно за игрой в шахматы, а сознательная тренировка, основа(Н/НН)ая на преодолении, требующая усилий. | НН | Н,НН | Правильное написание: основанная.

# Комплект 27; источник № 4949
Свойстве(Н/НН)ая лирическому герою О. | НН | Н,НН | Правильное написание: Свойственная.
Мандельштама сосредоточе(Н/НН)ость исключительно на собственном мире впоследствии постепенно преодолевается. | НН | Н,НН | Правильное написание: сосредоточенность.
Мандельштама сосредоточенность исключительно на собстве(Н/НН)ом мире впоследствии постепенно преодолевается. | НН | Н,НН | Правильное написание: собственном.
Мандельштама сосредоточенность исключительно на собственном мире впоследствии постепе(Н/НН)о преодолевается. | НН | Н,НН | Правильное написание: постепенно.

# Комплект 28; источник № 24497
В приотворё(Н/НН)ую дверь виднелось всё хозяйство Тараса: ружьё на стене, несколько горшков на печке, сундучок под некрашеной лавкой, развешанные снасти. | НН | Н,НН | Правильное написание: приотворённую.
В приотворённую дверь виднелось всё хозяйство Тараса: ружьё на стене, несколько горшков на печке, сундучок под некраше(Н/НН)ой лавкой, развешанные снасти. | Н | Н,НН | Правильное написание: некрашеной.
В приотворённую дверь виднелось всё хозяйство Тараса: ружьё на стене, несколько горшков на печке, сундучок под некрашеной лавкой, развеша(Н/НН)ые снасти. | НН | Н,НН | Правильное написание: развешанные.

# Комплект 29; источник № 12536
Тут же запомнилось зеркало до самого пола, немедле(Н/НН)о отразившее второго истасканного и рваного Шарика, оленьи рога в высоте, бесчисленные шубы и калоши. | НН | Н,НН | Правильное написание: немедленно.
Тут же запомнилось зеркало до самого пола, немедленно отразившее второго истаска(Н/НН)ого и рваного Шарика, оленьи рога в высоте, бесчисленные шубы и калоши. | НН | Н,НН | Правильное написание: истасканного.
Тут же запомнилось зеркало до самого пола, немедленно отразившее второго истасканного и рва(Н/НН)ого Шарика, оленьи рога в высоте, бесчисленные шубы и калоши. | Н | Н,НН | Правильное написание: рваного.
Тут же запомнилось зеркало до самого пола, немедленно отразившее второго истасканного и рваного Шарика, оленьи рога в высоте, бесчисле(Н/НН)ые шубы и калоши. | НН | Н,НН | Правильное написание: бесчисленные.

# Комплект 30; источник № 2602
Дверь в комнату была отворе(Н/НН)а, и оттуда явственно слышались звуки пианино, на котором исполняли какой-то медленный этюд. | Н | Н,НН | Правильное написание: отворена.
Дверь в комнату была отворена, и оттуда явстве(Н/НН)о слышались звуки пианино, на котором исполняли какой-то медленный этюд. | НН | Н,НН | Правильное написание: явственно.
Дверь в комнату была отворена, и оттуда явственно слышались звуки пианино, на котором исполняли какой-то медле(Н/НН)ый этюд. | НН | Н,НН | Правильное написание: медленный.

# Комплект 31; источник № 55155
Изучение стари(Н/НН)ых предметов: глиняной посуды, берестяных грамот, распространённых когда-то украшений — очень важно для науки. | НН | Н,НН | Правильное написание: старинных.
Изучение старинных предметов: глиня(Н/НН)ой посуды, берестяных грамот, распространённых когда-то украшений — очень важно для науки. | Н | Н,НН | Правильное написание: глиняной.
Изучение старинных предметов: глиняной посуды, берестя(Н/НН)ых грамот, распространённых когда-то украшений — очень важно для науки. | Н | Н,НН | Правильное написание: берестяных.
Изучение старинных предметов: глиняной посуды, берестяных грамот, распространё(Н/НН)ых когда-то украшений — очень важно для науки. | НН | Н,НН | Правильное написание: распространённых.

# Комплект 32; источник № 4130
На автопортрете художник изображён в изыска(Н/НН)ом плаще, лицо спокойно и уверенно, усы и бородка тщательно причёсаны. | НН | Н,НН | Правильное написание: изысканном.
На автопортрете художник изображён в изысканном плаще, лицо спокойно и увере(Н/НН)о, усы и бородка тщательно причёсаны. | НН | Н,НН | Правильное написание: уверенно.
На автопортрете художник изображён в изысканном плаще, лицо спокойно и уверенно, усы и бородка тщательно причёса(Н/НН)ы. | Н | Н,НН | Правильное написание: причёсаны.

# Комплект 33; источник № 54403
В гости(Н/НН)ице особенно вкусно готовили овощи, тушенные с пряностями. | Н | Н,НН | Правильное написание: гостинице.
В гостинице особе(Н/НН)о вкусно готовили овощи, тушенные с пряностями. | НН | Н,НН | Правильное написание: особенно.
В гостинице особенно вкусно готовили овощи, туше(Н/НН)ые с пряностями. | НН | Н,НН | Правильное написание: тушенные.
В гостинице особенно вкусно готовили овощи, тушенные с пря(Н/НН)остями. | Н | Н,НН | Правильное написание: пряностями.

# Комплект 34; источник № 43651
Семейство кактусовых на да(Н/НН)ый момент — одна из самых изученных и детально проработанных групп растений, но и сейчас учёные публикуют новые сенсационные сообщения о формах, никем ранее не виданных и не описанных. | НН | Н,НН | Правильное написание: данный.
Семейство кактусовых на данный момент — одна из самых изуче(Н/НН)ых и детально проработанных групп растений, но и сейчас учёные публикуют новые сенсационные сообщения о формах, никем ранее не виданных и не описанных. | НН | Н,НН | Правильное написание: изученных.
Семейство кактусовых на данный момент — одна из самых изученных и детально проработа(Н/НН)ых групп растений, но и сейчас учёные публикуют новые сенсационные сообщения о формах, никем ранее не виданных и не описанных. | НН | Н,НН | Правильное написание: проработанных.
Семейство кактусовых на данный момент — одна из самых изученных и детально проработанных групп растений, но и сейчас учё(Н/НН)ые публикуют новые сенсационные сообщения о формах, никем ранее не виданных и не описанных. | Н | Н,НН | Правильное написание: учёные.
Семейство кактусовых на данный момент — одна из самых изученных и детально проработанных групп растений, но и сейчас учёные публикуют новые сенсацио(Н/НН)ые сообщения о формах, никем ранее не виданных и не описанных. | НН | Н,НН | Правильное написание: сенсационные.
Семейство кактусовых на данный момент — одна из самых изученных и детально проработанных групп растений, но и сейчас учёные публикуют новые сенсационные сообщения о формах, никем ра(Н/НН)ее не виданных и не описанных. | Н | Н,НН | Правильное написание: ранее.
Семейство кактусовых на данный момент — одна из самых изученных и детально проработанных групп растений, но и сейчас учёные публикуют новые сенсационные сообщения о формах, никем ранее не вида(Н/НН)ых и не описанных. | НН | Н,НН | Правильное написание: виданных.
Семейство кактусовых на данный момент — одна из самых изученных и детально проработанных групп растений, но и сейчас учёные публикуют новые сенсационные сообщения о формах, никем ранее не виданных и не описа(Н/НН)ых. | НН | Н,НН | Правильное написание: описанных.

# Комплект 35; источник № 4091
И густое молоко, льющееся из глиня(Н/НН)ого кувшина, и пышный каравай в плетёной корзине, и сползающая салфетка выписаны художником во всех деталях и с особой выразительностью. | Н | Н,НН | Правильное написание: глиняного.
И густое молоко, льющееся из глиняного кувшина, и пышный каравай в плетё(Н/НН)ой корзине, и сползающая салфетка выписаны художником во всех деталях и с особой выразительностью. | Н | Н,НН | Правильное написание: плетёной.
И густое молоко, льющееся из глиняного кувшина, и пышный каравай в плетёной корзине, и сползающая салфетка выписа(Н/НН)ы художником во всех деталях и с особой выразительностью. | Н | Н,НН | Правильное написание: выписаны.

# Комплект 36; источник № 65181
На пустыре были броше(Н/НН)ы остатки реквизита: разбитые глиняные кувшины, жестяные банки, как будто высушенные букеты. | Н | Н,НН | Правильное написание: брошены.
На пустыре были брошены остатки реквизита: разбитые глиня(Н/НН)ые кувшины, жестяные банки, как будто высушенные букеты. | Н | Н,НН | Правильное написание: глиняные.
На пустыре были брошены остатки реквизита: разбитые глиняные кувшины, жестя(Н/НН)ые банки, как будто высушенные букеты. | Н | Н,НН | Правильное написание: жестяные.
На пустыре были брошены остатки реквизита: разбитые глиняные кувшины, жестяные банки, как будто высуше(Н/НН)ые букеты. | НН | Н,НН | Правильное написание: высушенные.

# Комплект 37; источник № 28361
Они промчались мимо хлопковых полей, потом уже в городе долго кружили по узким улочкам, зажатым глиня(Н/НН)ыми заборами, пока где-то на окраинном строении не обнаружили написанную на фанере вывеску экспедиции. | Н | Н,НН | Правильное написание: глиняными.
Они промчались мимо хлопковых полей, потом уже в городе долго кружили по узким улочкам, зажатым глиняными заборами, пока где-то на окраи(Н/НН)ом строении не обнаружили написанную на фанере вывеску экспедиции. | НН | Н,НН | Правильное написание: окраинном.
Они промчались мимо хлопковых полей, потом уже в городе долго кружили по узким улочкам, зажатым глиняными заборами, пока где-то на окраинном строении не обнаружили написа(Н/НН)ую на фанере вывеску экспедиции. | НН | Н,НН | Правильное написание: написанную.
