# Задание 13: НЕ/НИ со словами
# Формат: предложение | ответ | варианты | пояснение
# Ответы восстановлены по условию и официальному цифровому ответу каждого комплекта.


# Комплект 1; источник № 51414
Дом у Петровых (НЕ)БОЛЬШОЙ, но очень уютный. | слитно | слитно,раздельно | С прилагательным пишется слитно, нет условий для раздельного написания. Союз «но» не равен союзу «а».
Солнце, ещё (НЕ)СКРЫТОЕ облаками, освещает мрачную жёлто-лиловую тучу. | раздельно | слитно,раздельно | С причастием при наличии зависимых слов пишется раздельно.
Если моя выходка вам кажется смешна, смейтесь: предупреждаю вас, что это меня (НИ)МАЛО не огорчит. | слитно | слитно,раздельно | С наречием пишется слитно.

# Комплект 6; источник № 51306
В партии товара (НЕ)ДОСТАВАЛО несколько упаковок. | слитно | слитно,раздельно | Что касается безличного глагола «недостаёт», то он пишется слитно, так как без отрицания не этот глагол в значении «достаточно» не употребляется. Нельзя сказать: "Мне достаёт хлеба". Глагол «достаёт» без не употребляется только в значении определённого движения ("дотягивается") или в значении "добывает", "находит" (Он где-то достаёт эти редкие книги).
Застройка Санкт-Петербурга с его бурыми железными крышами вовсе (НЕ)РАССЧИТАНА на то, чтобы её рассматривали сверху. | раздельно | слитно,раздельно | Не с кратким причастием пишется раздельно.
Ничем (НЕ)ИНТЕРЕСУЯСЬ, Наталья равнодушно смотрела на чернеющее небо, на бушующий океан. | раздельно | слитно,раздельно | Не с деепричастием пишется раздельно.
Художник предпочитал очень (НЕ)ЯРКИЕ, пастельные тона, поэтому на его полотнах вы не увидите ничего кричащего, однако картины всё равно выглядят выразительно. | слитно | слитно,раздельно | Слитно с прилагательным, которое можно заменить синонимом (бледные).
— (НЕ)НАДО об этом думать, – шептала себе она. | раздельно | слитно,раздельно | НЕ НАДО об этом думать, – шептала себе она. − Наречие «надо» относится к предикативным наречиям на -о, не образовано от прилагательного и не является исключением, поэтому с частицей «не» будет писаться раздельно.

# Комплект 7; источник № 59877
Ванино состояние здоровья (НЕ)МЕШАЛО ему успешно сдавать экзамен. | раздельно | слитно,раздельно | С глаголами пишется раздельно (за исключением тех, что без НЕ не употребляются).
В конце месяца (НЕ)КОТОРЫМ сотрудникам начислили премии. | слитно | слитно,раздельно | Является приставкой в неопределённых местоимениях (некто, некоторый, несколько) и пишется слитно.
Никогда не стоит распространять (НЕ)ПРОВЕРЕННУЮ ещё информацию. | раздельно | слитно,раздельно | С причастием пишется раздельно, если у причастия есть зависимое слово. Здесь: не проверенную (когда?) ещё.
Это является (НЕ)ЧЕМ иным, как нарушением закона. | раздельно | слитно,раздельно | В устойчивом обороте «не что иное, как...» (и его вариантах: «не кто иной, как...», «не чем иным, как...») частица НЕ пишется раздельно.
Спасать жизни — очень (НЕ)ЛЁГКАЯ миссия. | слитно | слитно,раздельно | очень НЕЛЁГКАЯ миссия. — С прилагательным пишется слитно, если можно подобрать синоним без НЕ (нелёгкая = трудная, сложная). Слово «очень» усиливает степень качества и является сигналом к слитному написанию.

# Комплект 8; источник № 51311
Уже (НЕ)РАССЧИТЫВАЯ даже на ничью, шахматист передвинул коня. | раздельно | слитно,раздельно | С деепричастием пишется раздельно.
Из-за травмы спортсмен, любимец болельщиков, (НЕ)ДОБЕЖАЛ до финиша: сошёл с дистанции на первом круге. | раздельно | слитно,раздельно | С глаголом пишется раздельно.
(НЕ)ВНЯТНЫЙ ответ сына вызвал подозрение, и отец вынужден был задать ещё несколько вопросов. | слитно | слитно,раздельно | Имя прил., которое можно заменить синонимом «неразборчивый, сбивчивый», пишется слитно.
Оршанский (НЕ)ДОЕДАЛ, одевался весьма скромно, а все деньги за частную практику отправлял семье. | слитно | слитно,раздельно | Приставка «недо» со значением было недостаточно, меньше нормы.
Я имел в виду (НЕ)КОНКРЕТНО вас, а вообще всех людей. | раздельно | слитно,раздельно | Частица «не» относится к личному местоимению «вас» (перестроим предложение: Я имел в виду не вас конкретно), поэтому пишется раздельно.

# Комплект 9; источник № 59307
(НЕ)НАЙДЯ у одноклассников поддержки, Алексей был вынужден выполнять требования руководителя кружка. | раздельно | слитно,раздельно | С деепричастием раздельно.
Я с вами распрощаюсь, извинившись за доставленные (НЕ)УДОБСТВА. | слитно | слитно,раздельно | Слитно с именем сущ. без условий для разделения.
Сложности эти нужно было во что бы то (НИ)СТАЛО преодолеть. | раздельно | слитно,раздельно | С глаголами раздельно.
Сложно работать, если компьютер (НЕ)ПОДКЛЮЧЁН к Интернету. | раздельно | слитно,раздельно | С кратким причастием раздельно.
Корабль был (НЕ)БОЛЬШОЙ, но надёжный и комфортабельный. | слитно | слитно,раздельно | С именем прил. слитно, противопоставления нет.

# Комплект 10; источник № 51338
Глубина идеи в романе (НЕ)РАЗРЫВНО сочетается с художественностью. | слитно | слитно,раздельно | Слитно с наречием., которое можно заменить синонимом «тесно», условий для раздельного написания нет.
В этот вечер (НЕ)ОДНОМУ Николаю Терентьевичу суждено было пережить неприятные минуты. | раздельно | слитно,раздельно | Пишется раздельно с числительным.
Очень уставшие, сразу после возвращения с раскопок мы легли спать, (НЕ)ДОЖДАВШИСЬ ужина. | раздельно | слитно,раздельно | С деепричастием пишется раздельно.
Настасья (НЕ)ДОБРО посмотрела на барина — хотела было что-то возразить, но лишь тяжело вздохнула и вышла. | слитно | слитно,раздельно | хотела было что-то возразить, но лишь тяжело вздохнула и вышла. — Слитно с наречием., которое можно заменить синонимом «зло», условий для раздельного написания нет.
Дирижёром римской постановки «Кармен» был известный Габриэле Сантини, очень эмоциональный по характеру человек, (НЕ)УМЕВШИЙ сдерживать порывы своих чувств. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.

# Комплект 11; источник № 51861
(НЕ)ДОБРАЯ улыбка моего собеседника и даже не его безупречные манеры покорили меня, а необыкновенный голос – бархатный и глубокий. | раздельно | слитно,раздельно | Раздельно с именем прил., если частица относится не к нему. Раздельно с именем сущ. при наличии противопоставления, выраженного союзом «а». Разберёмся, что противопоставляется. Покорила не улыбка, а голос. Частица «не» относится к слову «улыбка», поэтому с прилагательным точно пишется раздельно.
Почерк был настолько (НЕ)РАЗБОРЧИВЫМ, что я едва смог понять содержание письма. | слитно | слитно,раздельно | Слитно с именем прил. при отсутствии условий для разделения.
(НЕ)РАСПУСТИВШИЙСЯ цветок уже источал тонкий аромат. | слитно | слитно,раздельно | Слитно с полным прич. при отсутствии зависимых слов.
Несмотря на то что костюм был очень стар, достался он мне (НЕ)ДАРОМ: я отдал за него остатки своих скудных сбережений. | раздельно | слитно,раздельно | Сочетание в значении «не подарили» пишется раздельно.
(НЕ)МЕДЛЯ ни минуты, Наташа выбежала из дома. | раздельно | слитно,раздельно | С деепричастием пишется раздельно.

# Комплект 12; источник № 51412
Мой (НЕ)ДОГАДЛИВЫЙ попутчик ничего не заподозрил. | слитно | слитно,раздельно | С прилагательным пишется слитно, нет условий для раздельного написания.
(НЕ)ДОСКАЗАННОСТЬ делает финал романа открытым. | слитно | слитно,раздельно | Без «не» не употребляется.
Молчание длилось очень (НЕ)ДОЛГО, однако нам обоим оно было тягостно. | слитно | слитно,раздельно | С наречием пишется слитно, нет условий для раздельного написания.
Видимых причин для беспокойства (НЕ)БЫЛО. | раздельно | слитно,раздельно | С глаголом пишем раздельно.
Листва берёз висит, (НЕ)ШЕЛОХНУВШИСЬ, роса стекает по белым стволам. | раздельно | слитно,раздельно | С деепричастием пишем раздельно.

# Комплект 13; источник № 55153
Наш сосед никогда не заботился (НИ)(О)КОМ, кроме себя. | раздельно | слитно,раздельно | Усилительная частица «ни» раздельно в конструкции с предлогом и местоимением; предлог и местоимение также раздельно.
(НЕ)ОСОЗНАВАЯ сути правил коммуникации, люди пользуются ими каждый день. | раздельно | слитно,раздельно | С деепричастием раздельно.
Самостоятельно осваивать технологию обработки металла и получать профессию кузнеца — очень (НЕ)ПРОСТОЕ занятие. | слитно | слитно,раздельно | очень НЕПРОСТОЕ занятие. — С именем прил. слитно при отсутствии условий для раздельного написания. Слово «очень» указывает на слитное написание.
Я не любитель романтических комедий и лёгких мелодрам, поэтому фильм я так и (НЕ)ДОСМОТРЕЛ до конца. | раздельно | слитно,раздельно | С глаголом раздельно, действие не доведено до конца.
Стоит выйти на крыльцо, как осень начнёт дышать в лицо горьким запахом первого тонкого льда, сковавшего (НЕ)ПОДВИЖНЫЕ воды. | слитно | слитно,раздельно | С именем прил. слитно при отсутствии условий для раздельного написания.

# Комплект 14; источник № 56090
Дачи обыкновенно снимают ранней весной, а (НЕ)ГЛУБОКОЙ зимой. | раздельно | слитно,раздельно | Частица НЕ относится к имени сущ. «зимой» (весной, а не зимой; противопоставление).
На эстраде она казалась громоздкой и даже (НЕ)УКЛЮЖЕЙ. | слитно | слитно,раздельно | Часть корня.
Перпендикулярно к огромному окну с синими шторами стоял ничем (НЕ)ПОКРЫТЫЙ письменный стол. | раздельно | слитно,раздельно | Раздельно с причастием при наличии зависимых слов, то есть в причастном обороте.
Особенности правового положения некоммерческих организаций должны определяться законом о взаимном страховании, который пока (НЕ)ПРИНЯТ. | раздельно | слитно,раздельно | Всегда раздельно с кратким причастием.
Перед ними был широкий ров, некогда наполненный водой, а теперь почти сплошь сухой: в замке (НЕ)ДОСТАВАЛО воды. | слитно | слитно,раздельно | Слитно в значении «не хватало, было недостаточно».

# Комплект 15; источник № 51342
В хороших книгах главный герой непременно откуда-нибудь приезжает; в этой книге главный герой я, но я (НИ)ОТКУДА не приехал. | слитно | слитно,раздельно | Наречие, слитно.
Он встал на путь, который до него еще (НИ)КЕМ в отечественной науке не был пройден. | слитно | слитно,раздельно | Местоимение без предлога, слитно.
Несмотря ни на что, он по-прежнему верил, что вегетарианцу (НЕ)ЗАЧЕМ регулярно принимать душ и пользоваться дезодорантом. | слитно | слитно,раздельно | Наречие, слитно.
Это был (НЕ)КТО иной, как почтенный и добрейший доктор Блаклок, хорошо известный в то время литератор. | раздельно | слитно,раздельно | Сочетание «не кто иной, как» пишется через «е» и раздельно в предложениях с противопоставлением.
С Леоном можно было говорить только о делах, (НИ)ЧТО иное его не интересовало. | слитно | слитно,раздельно | Местоимение без предлога, слитно.

# Комплект 16; источник № 65179
(НЕ)ЗАБЫВАЕМЫЕ трели соловья долго ещё я вспоминал в своей жизни. | слитно | слитно,раздельно | пишется СЛИТНО, так как прилагательное можно заменить синонимом «памятные», нет противопоставления и зависимых слов.
Даже (НЕ)ОБРАБОТАННЫЙ мастером камень поражал оригинальным рисунком. | раздельно | слитно,раздельно | пишется РАЗДЕЛЬНО, так как это причастие с зависимым словом «мастером».
(НЕ)РАЗ я бывал здесь, но по-настоящему красоту здешних мест оценил только теперь. | раздельно | слитно,раздельно | пишется РАЗДЕЛЬНО, так как «не раз» — устойчивое выражение в значении «много раз».
Алексей прошёл мимо, (НЕ)СМОТРЯ в нашу сторону, и повернул за угол. | раздельно | слитно,раздельно | пишется РАЗДЕЛЬНО, так как это деепричастие.
Глубина идеи в романе (НЕ)РАЗРЫВНО сочетается с художественностью. | слитно | слитно,раздельно | пишется СЛИТНО, так как наречие на -О можно заменить синонимом «прочно», «тесно», условий для разделения нет.

# Комплект 17; источник № 51834
Выяснилось, что это (НЕ)КТО иной, как тот самый продавец, который Зубру безо всякого повода вспомнился перед выездом. | раздельно | слитно,раздельно | Устойчивый оборот «не кто иной, как».
Дверь в лавку в столь ранний час оказалась (НЕ)ЗАПЕРТОЙ, чему я был очень рад. | слитно | слитно,раздельно | Слитно с причастием без зависимых слов.
Стены в комнате всё ещё были (НЕ)ОКРАШЕНЫ, хотя прораб уверял Валерия, что работы будут завершены в срок. | раздельно | слитно,раздельно | Раздельно с кратким причастием.
В комнате (НЕ)ГРОМКО, но раздражающе тикали часы. | слитно | слитно,раздельно | В комнате НЕГРОМКО, но раздражающе тикали часы. Слитно с наречиями на «о» при отсутствии условий для раздельного написания. Союз «но» не равен «а»; «негромко» заменяется синонимом «тихо».
В дальнем углу торгового зала стоял далеко (НЕ)НОВЫЙ, однако удивительно хорошо сохранившийся стул. | раздельно | слитно,раздельно | В дальнем углу торгового зала стоял далеко НЕ НОВЫЙ, однако удивительно хорошо сохранившийся стул. Раздельно с прилаг. при наличии условий для раздельного написания: отрицательный усилитель «далеко не».

# Комплект 18; источник № 54098
Группа туристов отправилась на рыболовецком судне к совершенно (НЕ)ИЗВЕСТНОМУ острову. | слитно | слитно,раздельно | Имя прил. слитно без условий для раздельного написания.
Зной усиливался, хотелось лежать (НЕ)ДВИГАЯСЬ и ни о чём не думать. | раздельно | слитно,раздельно | С деепричастием, перешедшим в этом предложении в наречие, раздельно.
Войдя в (НЕ)ОСВЕЩЁННУЮ комнату, я вначале не заметил фигуру человека, стоявшего у окна. | слитно | слитно,раздельно | Причастие (полное) слитно без зависимых слов.
За перевалом перед путешественниками открылась ещё (НЕ)ИССЛЕДОВАННАЯ местность. | раздельно | слитно,раздельно | Причастие (полное) раздельно при наличии зависимых слов.
Даже небольшие (НЕ)РОВНОСТИ на дороге могут спровоцировать автомобильную аварию. | слитно | слитно,раздельно | Имя сущ. слитно без условий для раздельного написания.

# Комплект 19; источник № 51336
Он меняет всё вокруг, потому что (НЕ)ГОТОВ измениться сам. | раздельно | слитно,раздельно | С этим кратким прилагательным раздельное написание, ибо есть условие: оно исключение.
В этом городе редко встретишь праздного, ничем (НЕ)ЗАНЯТОГО человека. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.
Я никогда не был большим любителем содержания птиц в (НЕ)ВОЛЕ, но иногда зимою у меня жили лесные певчие птицы. | слитно | слитно,раздельно | Слитно с сущ., которое можно заменить синонимом «в клетке», условий для раздельного написания нет.
Впереди показались (НЕ)ЯСНЫЕ очертания огромных деревьев. | слитно | слитно,раздельно | Слитно с прил., которое можно заменить синонимом «смутные», условий для раздельного написания нет.
Если человек привык бросать дело, (НЕ)ДОВОДЯ его до конца, искоренить эту вредную привычку очень сложно. | раздельно | слитно,раздельно | С деепричастием раздельно.

# Комплект 20; источник № 52529
Трое городовых тщетно старались восстановить порядок, беспрестанно нарушаемый подъезжающими каретами, санками и экипажами, (НЕ)ИЗВЕСТНЫМИ в Курской губернии. | слитно | слитно,раздельно | С именем прилагательным без условий для раздельного написания слитно.
Мы решили сесть на пароход (НЕ)КОГДА он идёт к Вязникам, а когда идёт от них. | раздельно | слитно,раздельно | Раздельно с местоименным наречием, есть противопоставление: не когда, а когда. Не путать с «некогда» (то есть «давно» (некогда слово «лепо» обозначало...) или «нет времени» (сейчас мне некогда...).
Дальнейшее рассуждение будет построено вокруг очень (НЕ)ОБЫЧНОЙ, но ключевой характеристики социального капитала. | слитно | слитно,раздельно | Слитно с именем прил. при отсутствии условий для разделения. Слово «очень» подчёркивает значение признака.
Чтобы швейцарский сыр (НЕ)СОХ, надо его держать в фаянсовой чаше, накрыв глубокой тарелкой. | раздельно | слитно,раздельно | С глаголами (что делал?) пишется раздельно.
От беспомощности и горя он тяжело обидел жену, мать девочки: упрекнул, что та (НЕ)ДОСМОТРЕЛА за дитём. | слитно | слитно,раздельно | Приставка НЕДО в глаголе со значением неполноты действия, это действие закончить нельзя. Ср: не досмотрела фильм.

# Комплект 21; источник № 59506
От его слов почему-то мне было отнюдь (НЕ)СМЕШНО, а, скорее, грустно. | раздельно | слитно,раздельно | Слово категории состояния с отрицательным усилителем пишется раздельно.
Он послушно поднялся и, поеживаясь, ждал, явно (НЕ)ПОНИМАЯ, куда идти. | раздельно | слитно,раздельно | Деепричастие пишется раздельно.
(НИ)(В)КАКИХ печатных источниках история эта не зафиксирована. | раздельно | слитно,раздельно | Местоимение с предлогом пишется раздельно.
Наташу нельзя было упрекнуть в (НЕ)ВНИМАТЕЛЬНОСТИ. | слитно | слитно,раздельно | Имя сущ. без условий для разделения пишется слитно.
Побывал я однажды в мастерской знаменитого скульптора: по углам громоздились его (НЕ)ЗАВЕРШЕННЫЕ работы. | слитно | слитно,раздельно | Одиночное причастие пишется слитно.

# Комплект 22; источник № 51333
(НЕ)ВЫСОКОЕ облачное небо виднелось над горами. | слитно | слитно,раздельно | Слитно с прилаг., которое можно заменить синонимом «низкое», условий для раздельного написания нет.
Над озером догорал (НЕ)ЯРКИЙ, но очень красивый закат. | слитно | слитно,раздельно | Слитно с прилаг., которое можно заменить синонимом «тусклый», условий для раздельного написания нет.
(НЕ)ПОНЯТЫЙ никем из присутствующих, Меркулов решил покинуть аудиторию. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.
(НЕ)ДОЖИДАЯСЬ разрешения, Григорий решительно вошёл в комнату. | раздельно | слитно,раздельно | С деепричастием раздельно.
Кустики брусники усыпаны ещё (НЕ)СОЗРЕВШИМИ ягодами. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.

# Комплект 23; источник № 53334
Авторское описание в данном случае отнюдь (НЕ)БЕЗЛИЧНО: автор постоянно находится рядом с каким-то участником битвы, всё время переходя от одного к другому. | раздельно | слитно,раздельно | Авторское описание в данном случае отнюдь НЕ БЕЗЛИЧНО: автор постоянно находится рядом с каким-то участником битвы, всё время переходя от одного к другому. Имя прилагательное пишется раздельно при наличии условий для разделения, это слово «отнюдь».
Если женщина, (НЕ)ПРИМЕЧЕННАЯ охотником, неожиданно перейдёт ему дорогу, охотник теряет надежду на успешное окончание дела и нередко возвращается домой. | раздельно | слитно,раздельно | Если женщина, НЕ ПРИМЕЧЕННАЯ охотником, неожиданно перейдёт ему дорогу, охотник теряет надежду на успешное окончание дела и нередко возвращается домой. В причастном обороте причастие пишется раздельно.
Сейчас главное (НЕ)КРАСИВЫЙ дом и ухоженный газон, но иное: просторная река в сияющих под солнцем бликах, ближняя роща, золотистые сосны. | раздельно | слитно,раздельно | Сейчас главное НЕ КРАСИВЫЙ дом и ухоженный газон, но иное: просторная река в сияющих под солнцем бликах, ближняя роща, золотистые сосны. Частица «не» относится к словам «дом» и «газон»: не газон, не дом. Написать слитно слово «некрасивый» нельзя, тогда выйдет вот что: Сейчас главное НЕКРАСИВЫЙ (=СТРАШНЫЙ) дом и ухоженный газон, но иное: просторная река в сияющих под солнцем бликах, ближняя роща, золотистые сосны. Смысл предложения: не дом и газон главное, а что? Союз «но» иногда употребляется в значении «а».
Они уже и сами (НЕ)РАДЫ, что позволили себе эту невинную шутку. | раздельно | слитно,раздельно | Это имя прилагательное не употребляется в полной форме, пишется раздельно как исключение из общего правила.
(НЕ)ВЗИРАЯ ни на какие убеждения со стороны Марьи Петровны, сестра осталась непоколебимою в своём намерении. | слитно | слитно,раздельно | Уступительный предлог «невзирая на» пишется слитно.

# Комплект 24; источник № 51658
Это был (НЕ)СПОКОЙНЫЙ во все времена южный город; | слитно | слитно,раздельно | Имя прил., пишется слитно, потому что можно заменить синонимом «шумный». Условий для раздельного написания нет.
Яма оказалась (НЕ)ГЛУБОКАЯ, но широкая; | слитно | слитно,раздельно | Имя прил., пишется слитно, потому что можно заменить синонимом «мелкая». Условий для раздельного написания нет. Союз «но» не соединяет антонимы, не равен союзу «а», противопоставления нет.
Посетители (НЕ)СПЕША проходят по залам музея, открывшегося после реставрации. | раздельно | слитно,раздельно | Наречие, образовано от деепричастия, пишется раздельно.
Для каждого писателя Пушкин — удивительный пример (НЕ)СТАРЕЮЩЕГО мастерства. | слитно | слитно,раздельно | удивительный пример НЕСТАРЕЮЩЕГО мастерства. — Пишется слитно с причастием без зависимых слова.
Это был самый обыкновенный, ничем (НЕ)ЗАМЕЧАТЕЛЬНЫЙ бой. | раздельно | слитно,раздельно | Имя прил., пишется раздельно, потому что есть условие для раздельного написания: местоимение «ничем».

# Комплект 25; источник № 57543
Скульптура эрмитажного собрания «Никола Можайский» вывезена из Каргополя — крупного владения московских царей XVI века, ничем (НЕ)УСТУПАВШЕГО другим северным торговым центрам. | раздельно | слитно,раздельно | крупного владения московских царей XVI века, ничем НЕ УСТУПАВШЕГО другим северным торговым центрам. — Причастие с зависимым словом пишется раздельно.
После реставрации общая композиция Главной лестницы Зимнего дворца осталась (НЕ)ИЗМЕННОЙ. | слитно | слитно,раздельно | В современном языке это слово без частицы не употребляется, хотя есть устаревшее слово «изменный».
В силу особенностей личной и творческой биографии, весьма (НЕ)ПРОСТОЙ, трагической, Б. Л. Пастернак, в отличие от многих соседей по литературному посёлку, оказался значительно менее зависим от жизни Переделкина. | слитно | слитно,раздельно | Имя прил. с оборотом «весьма не» пишется слитно, это не усиление отрицания.
(НЕ)ЗАТЕЙЛИВАЯ, но своеобразная продукция скопинских гончаров пользовалась большим спросом у коллекционеров и любителей народного искусства. | слитно | слитно,раздельно | В предложении нет антонимов, союз «но» не создаёт противопоставления, поэтому имя прилаг. пишется слитно.
В нравственных законах задается абсолютный предел человека, та первооснова, последняя черта, которую нельзя переступить, (НЕ)ПОТЕРЯВ человеческого достоинства. | раздельно | слитно,раздельно | Деепричастие пишется раздельно.

# Комплект 26; источник № 51314
Остановились на привале, так и (НЕ)ДОЖДАВШИСЬ темноты. | раздельно | слитно,раздельно | Пишется раздельно с деепричастием.
В (НЕ)БОЛЬШОМ, но просторном зале было светло и тихо. | слитно | слитно,раздельно | Имя прил. пишется слитно, так как заменяется синонимом. Союз «но» не равен союзу «а», противопоставления нет.
(НЕ)ПРИВЛЕКАТЕЛЬНАЯ картина предстала перед нашим взором. | слитно | слитно,раздельно | Имя прил. пишется слитно, так как заменяется синонимом.
С больными, (НЕ)ОСОЗНАЮЩИМИ, к каким серьёзным последствиям может привести их отказ от лечения, врачи ведут разъяснительные беседы. | раздельно | слитно,раздельно | Пишется раздельно с причастием, т. к. есть зависимые слова: к причастию относится всё придаточное предложение.
От равнодушия отнюдь (НЕ)ДАЛЕКО до порока. | раздельно | слитно,раздельно | С наречием пишется раздельно, так как есть отрицательный усилитель «отнюдь не» (см. правило к заданию).

# Комплект 27; источник № 52556
Запрещается продажа лекарственных средств, пришедших в (НЕ)ГОДНОСТЬ, и лекарственных средств с истекшим сроком годности. | слитно | слитно,раздельно | Слитно с именем сущ. без условий для раздельного написания.
Прежде Федя, когда пассажирский пароход привозил его в родную гавань или увозил во Владивосток, как-то (НЕ)ПРИГЛЯДЫВАЛСЯ к маяку. | раздельно | слитно,раздельно | С глаголом пишется раздельно.
Истинные театралы не за информацией приходят в театр, но за наслаждением, (НЕ)ДЕЙСТВУЮЩИХ лиц они приходят смотреть, а исполнителей, артистов. | раздельно | слитно,раздельно | Истинные театралы не за информацией приходят в театр, но за наслаждением, НЕ ДЕЙСТВУЮЩИХ лиц они приходят смотреть, а исполнителей, артистов. Частица «не» относится к слову «лиц» (не лиц пришли смотреть, а исполнителей..) Явно выражено противопоставление, поэтому раздельно.
Егор ужом выскользнул из-под одеяла и, ослепительно белый, в кальсонах и длинной рубахе, (НЕ)СЛЫШНО прокрался в горницу. | слитно | слитно,раздельно | С наречием без условий для раздельного написания пишется слитно.
В то время жили они (НЕ)БОГАЧЕ нас. | раздельно | слитно,раздельно | Со сравнительной степенью наречия пишется раздельно.

# Комплект 28; источник № 57111
На улице как-то неуверенно, (НЕ)ВСЕРЬЁЗ, но всё же заморосил дождь. | раздельно | слитно,раздельно | Словарное написание с наречием.
Мятежный броненосец, (НЕ)ЖЕЛАВШИЙ сдаваться, поднял красный флаг. | раздельно | слитно,раздельно | Причастие с зависимым словом пишется раздельно.
(НЕ)ПРИЯТЕЛЬ готовился к обороне, а мы — к наступлению. | слитно | слитно,раздельно | к наступлению. — Имя сущ. без условий для раздельного написания пишется слитно, легко заменяется синонимом.
Дед отгребал лёд голыми руками, (НЕ)ЧУЯ никакого мороза. | раздельно | слитно,раздельно | Деепричастие пишется раздельно.
